date,rep_id,clinic_id,country,visits,samples,activity_type
2022-11-01,R0001,C00374,FR,0,0,visit
2022-11-01,R0001,C00327,FR,0,0,visit
2022-11-01,R0001,C00057,FR,0,0,visit
2022-11-01,R0001,C00397,FR,1,0,visit
2022-11-01,R0001,C00071,FR,1,0,visit
2022-11-01,R0001,C00357,FR,2,2,visit
2022-11-01,R0001,C00193,FR,0,0,visit
2022-11-01,R0001,C00400,FR,1,1,visit
2022-11-01,R0001,C00331,FR,0,0,visit
2022-11-01,R0001,C00081,FR,1,2,visit
2022-11-01,R0001,C00022,FR,1,0,visit
2022-11-01,R0001,C00184,FR,1,0,visit
2022-11-01,R0001,C00200,FR,1,0,visit
2022-12-01,R0001,C00374,FR,0,0,visit
2022-12-01,R0001,C00327,FR,2,0,visit
2022-12-01,R0001,C00057,FR,1,1,visit
2022-12-01,R0001,C00397,FR,2,0,visit
2022-12-01,R0001,C00071,FR,0,0,visit
2022-12-01,R0001,C00357,FR,4,4,visit
2022-12-01,R0001,C00193,FR,0,0,visit
2022-12-01,R0001,C00400,FR,1,0,visit
2022-12-01,R0001,C00331,FR,0,0,visit
2022-12-01,R0001,C00081,FR,0,0,visit
2022-12-01,R0001,C00022,FR,2,2,visit
2022-12-01,R0001,C00184,FR,0,0,visit
2022-12-01,R0001,C00200,FR,1,0,visit
2023-01-01,R0001,C00374,FR,0,0,visit
2023-01-01,R0001,C00327,FR,2,2,visit
2023-01-01,R0001,C00057,FR,0,0,visit
2023-01-01,R0001,C00397,FR,1,0,visit
2023-01-01,R0001,C00071,FR,0,0,visit
2023-01-01,R0001,C00357,FR,0,0,visit
2023-01-01,R0001,C00193,FR,0,0,visit
2023-01-01,R0001,C00400,FR,4,0,visit
2023-01-01,R0001,C00331,FR,1,0,visit
2023-01-01,R0001,C00081,FR,0,0,visit
2023-01-01,R0001,C00022,FR,0,0,visit
2023-01-01,R0001,C00184,FR,2,0,visit
2023-01-01,R0001,C00200,FR,0,0,visit
2023-02-01,R0001,C00374,FR,0,0,visit
2023-02-01,R0001,C00327,FR,5,0,visit
2023-02-01,R0001,C00057,FR,1,0,visit
2023-02-01,R0001,C00397,FR,0,0,visit
2023-02-01,R0001,C00071,FR,1,0,visit
2023-02-01,R0001,C00357,FR,1,0,visit
2023-02-01,R0001,C00193,FR,1,1,visit
2023-02-01,R0001,C00400,FR,1,0,visit
2023-02-01,R0001,C00331,FR,0,0,visit
2023-02-01,R0001,C00081,FR,0,0,visit
2023-02-01,R0001,C00022,FR,0,0,visit
2023-02-01,R0001,C00184,FR,1,0,visit
2023-02-01,R0001,C00200,FR,0,0,visit
2023-03-01,R0001,C00374,FR,2,0,visit
2023-03-01,R0001,C00327,FR,0,0,visit
2023-03-01,R0001,C00057,FR,0,0,visit
2023-03-01,R0001,C00397,FR,0,0,visit
2023-03-01,R0001,C00071,FR,0,0,visit
2023-03-01,R0001,C00357,FR,0,0,visit
2023-03-01,R0001,C00193,FR,1,0,visit
2023-03-01,R0001,C00400,FR,4,0,visit
2023-03-01,R0001,C00331,FR,1,0,visit
