date,clinic_id,country,product_sku,product_family,units,revenue,price_per_unit
2022-11-01,C00001,FR,NEURO_A,Neuromodulator,0,0.0,250.0
2022-11-01,C00001,FR,FILLER_X,Filler,1,352.38,350.0
2022-11-01,C00001,FR,SKIN_SER,SkinCare_Product,0,0.0,80.0
2022-12-01,C00001,FR,NEURO_A,Neuromodulator,1,250.07,250.0
2022-12-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2022-12-01,C00001,FR,SKIN_SER,SkinCare_Product,0,0.0,80.0
2023-01-01,C00001,FR,NEURO_A,Neuromodulator,1,251.96,250.0
2023-01-01,C00001,FR,FILLER_X,Filler,2,679.05,350.0
2023-01-01,C00001,FR,SKIN_SER,SkinCare_Product,0,0.0,80.0
2023-02-01,C00001,FR,NEURO_A,Neuromodulator,2,499.68,250.0
2023-02-01,C00001,FR,FILLER_X,Filler,1,361.62,350.0
2023-02-01,C00001,FR,SKIN_SER,SkinCare_Product,2,165.62,80.0
2023-03-01,C00001,FR,NEURO_A,Neuromodulator,0,0.0,250.0
2023-03-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2023-03-01,C00001,FR,SKIN_SER,SkinCare_Product,2,168.94,80.0
2023-04-01,C00001,FR,NEURO_A,Neuromodulator,0,0.0,250.0
2023-04-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2023-04-01,C00001,FR,SKIN_SER,SkinCare_Product,2,157.15,80.0
2023-05-01,C00001,FR,NEURO_A,Neuromodulator,0,0.0,250.0
2023-05-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2023-05-01,C00001,FR,SKIN_SER,SkinCare_Product,0,0.0,80.0
2023-06-01,C00001,FR,NEURO_A,Neuromodulator,0,0.0,250.0
2023-06-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2023-06-01,C00001,FR,SKIN_SER,SkinCare_Product,1,79.74,80.0
2023-07-01,C00001,FR,NEURO_A,Neuromodulator,0,0.0,250.0
2023-07-01,C00001,FR,FILLER_X,Filler,1,361.76,350.0
2023-07-01,C00001,FR,SKIN_SER,SkinCare_Product,2,159.57,80.0
2023-08-01,C00001,FR,NEURO_A,Neuromodulator,2,506.81,250.0
2023-08-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2023-08-01,C00001,FR,SKIN_SER,SkinCare_Product,0,0.0,80.0
2023-09-01,C00001,FR,NEURO_A,Neuromodulator,1,252.1,250.0
2023-09-01,C00001,FR,FILLER_X,Filler,2,718.4,350.0
2023-09-01,C00001,FR,SKIN_SER,SkinCare_Product,1,80.48,80.0
2023-10-01,C00001,FR,NEURO_A,Neuromodulator,0,0.0,250.0
2023-10-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2023-10-01,C00001,FR,SKIN_SER,SkinCare_Product,0,0.0,80.0
2023-11-01,C00001,FR,NEURO_A,Neuromodulator,0,0.0,250.0
2023-11-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2023-11-01,C00001,FR,SKIN_SER,SkinCare_Product,2,160.05,80.0
2023-12-01,C00001,FR,NEURO_A,Neuromodulator,1,253.12,250.0
2023-12-01,C00001,FR,FILLER_X,Filler,0,0.0,350.0
2023-12-01,C00001,FR,SKIN_SER,SkinCare_Product,1,80.08,80.0
